id:,name,englishName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,massValue,massExponent,volValue,volExponent,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,aroundPlanet,discoveredBy,discoveryDate,alternativeName,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode
hygie,(10) Hygie,10 Hygiea,FALSE,469345000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Annibale de Gasparis,12/04/1849,,0,0,0,0,0
lutetia,(21) Lutetia,21 Lutetia,FALSE,364277000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,H. M. S. Goldschmidt,12/11/1852,,0,0,0,0,0
mathilde,(253) Mathilde,253 Mathilde,FALSE,395900000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Johann Palisa,12/11/1885,1949 OL1 - A915 TN,0,0,0,0,0
uranus,Uranus,Uranus,TRUE,2870658186,2734998229,3006318143,0.0457,0.772,8.68127,25,6.833,13,1.27,8.87,21380,25362,25559,24973,0.02293,,30685.4,-17.24,null,William Herschel,13/03/1781,,97.77,0,142.2386,98.862,73.967
iris,(7) Iris,7 Iris,FALSE,357019000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,John Russell Hind,13/08/1847,,0,0,0,0,0
eros,(433) Ã‰ros,433 Eros,FALSE,218155000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Gustav Witt,13/08/1898,1898 DQ - 1956 PC,0,0,0,0,0
vanth,Vanth,Vanth,FALSE,8980,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,orcus,Michael E. Brown,13/11/2005,S/2005 (90482) 1,0,0,0,0,0
sedna,(90377) Sedna,90377 Sedna,FALSE,75659770000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Chadwick Trujillo,14/11/2003,2003 VB12,0,0,0,0,0
chariklo,(10199) Chariklo,10199 Chariklo,FALSE,2380000000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Spacewatch,15/02/1997,1997 CU26,0,0,0,0,0
sylvia,(87) Sylvia,87 Sylvia,FALSE,522135000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Norman Robert Pogson,16/05/1866,A909 GA,0,0,0,0,0
dactyl,Dactyl,(243) Ida I Dactyl,FALSE,108,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,ida,Ann Harch,17/02/1994,,0,0,0,0,0
orcus,(90482) Orcus,90482 Orcus,FALSE,5862440000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Michael E. Brown,17/02/2004,2004 DW,0,0,0,0,0
pluton,Pluton,Pluto,TRUE,5906440628,4436756954,7376124302,0.2488,17.16,1.303,22,7.15,9,1.89,0.62,1210,1188.3,1188.3,1195,0,,90465,-153.2928,null,Clyde W. Tombaugh,18/02/1930,,122.5,0,14.53,113.175,110.088
damocles,(5335) DamoclÃ¨s,5335 Damocles,FALSE,8368303000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Robert H. McNaught,18/02/1991,1991 DA,0,0,0,0,0
romulus,Romulus,Romulus,FALSE,1356,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,sylvia,Michael E. Brown,18/02/2001,S/2004 (87) 2,0,0,0,0,0
alexhelios,AlexhÃ©lios,Alexhelios,FALSE,775,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,kleopatra,F. Marchis,18/09/2008,,0,0,0,0,0
cleoselene,ClÃ©osÃ©lÃ©nÃ©,Cleoselene,FALSE,380,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,kleopatra,F. Marchis,18/09/2008,,0,0,0,0,0
flore,(8) Flore,8 Flora,FALSE,329313000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,John Russell Hind,18/10/1847,,0,0,0,0,0
chiron,(2060) Chiron,2060 Chiron,FALSE,2042652000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Charles T. Kowal,18/10/1977,1977 UB,0,0,0,0,0
eureka,(5261) EurÃªka,5261 Eureka,FALSE,227908000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,David H. Levy,20/06/1990,1990 MB,0,0,0,0,0
achille,(588) Achille,588 Achilles,FALSE,776669000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Max Wolf,22/02/1906,1906 TG,0,0,0,0,0
weywot,Weywot,Weywot,FALSE,10000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,quaoar,Michael E. Brown,22/02/2007,S/2006 (50000) 1,0,0,0,0,0
ixion,(28978) Ixion,28978 Ixion,FALSE,5910896000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Deep Ecliptic Survey,22/05/2001,2001 KX76,0,0,0,0,0
neptune,Neptune,Neptune,TRUE,4498396441,4459753056,4537039826,0.0113,1.769,1.02413,26,6.254,13,1.638,11.15,23560,24622,24764,24341,0.01708,,60189,16.11,null,Urbain Le Verrier,23/09/1846,,28.3,0,256.228,256.932,131.823
sl9,Shoemaker-Levy 9,Shoemaker-Levy 9,FALSE,0,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Carolyn,24/03/1993,,0,0,0,0,0
9metis,(9) MÃ©tis,9 Metis,FALSE,357052000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Andrew Graham,25/04/1848,1974 QU 2,0,0,0,0,0
haumea,(136108) HaumÃ©a,136108 Haumea,TRUE,6432011461,5157623774,7706399149,0.19126,28.19,4.006,21,2.4,9,2.6,0.401,809,33,0,498,0.6102,1960 Ã— 1518 Ã— 996,103774,3.92,null,Michael E. Brown,28/12/2004,2003 EL61,0,0,218.205,239.041,122.167
nessus,(7066) Nessus,7066 Nessus,FALSE,3689000000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Spacewatch,26/04/1993,1993 HA2,0,0,0,0,0
itokawa,(25143) Itokawa,25143 Itokawa,FALSE,198049628,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,LINEAR,26/09/1998,1998 SF36,0,0,0,0,0
hylonome,(10370) Hylonome,10370 Hylonome,FALSE,3779000000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,David C. Jewitt,27/02/1995,1995 DW2,0,0,0,0,0
eugenia,(45) EugÃ©nie,45 Eugenia,FALSE,406934000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Hermann Goldschmidt,27/06/1857,1941 BN,0,0,0,0,0
2006SQ372,(308933) 2006 SQ372,(308933) 2006 SQ372,FALSE,151692240180,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Andrew Becker,27/09/2006,2006 SQ372,0,0,0,0,0
pallas,(2) Pallas,2 Pallas,FALSE,414717000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Heinrich Olbers,28/03/1802,,0,0,0,0,0
asbolus,(8405) Asbolus,8405 Asbolus,FALSE,2694000000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,James V. Scotti,28/03/1995,1995 GO,0,0,0,0,0
varuna,(20000) Varuna,20000 Varuna,FALSE,6451398000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Robert S. McMillan Spacewatch,28/11/2000,2000 WR106,0,0,0,0,0
vesta,(4) Vesta,4 Vesta,FALSE,353343000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,H. W. Olbers,29/03/1807,,0,0,0,0,0
ida,(243) Ida,243 Ida,FALSE,428000000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Johann Palisa,29/09/1884,,0,0,0,0,0
hyakutake,Hyakutake,Comet Hyakutake,FALSE,0,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Yuji Hyakutake,30/01/1996,,0,0,0,0,0
gaspra,(951) Gaspra,951 Gaspra,FALSE,330513000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Grigori Neujmin,30/07/1916,1916 S45 - 1916 Î£45,0,0,0,0,0
albion,(15760) Albion,15760 Albion,FALSE,6547379000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,David C. Jewitt,30/08/1992,1992 QB1,0,0,0,0,0
makemake,(136472) MakÃ©makÃ©,136472 Makemake,TRUE,6783345606,5671928586,7894762625,0.15586,29.00685,4.4,21,1.7,9,1.4,0.5,800,725,745,715,0.05,,112897,0,null,Michael E. Brown,31/03/2005,2005 FY9,0,0,165.514,294.834,79.62
halley,ComÃ¨te de Halley,Halley's Comet,FALSE,2677801885,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,,,,0,0,0,0,0
jupiter,Jupiter,Jupiter,TRUE,778340821,740379835,816620000,0.0489,1.304,1.89819,27,1.43128,15,1.3262,24.79,60200,69911,71492,66854,0.06487,,4332.589,9.925,null,,,,3.12,0,20.02,273.442,100.398
mars,Mars,Mars,TRUE,227943824,206700000,249200000,0.0935,1.85,6.41712,23,1.6318,11,3.9341,3.71,5030,3389.5,3396.19,3376.2,0.00589,,686.98,24.6229,null,,,,25.19,0,19.412,286.231,49.667
mercure,Mercure,Mercury,TRUE,57909227,46001200,69816900,0.2056,7,3.30114,23,6.083,10,5.4291,3.7,4250,2439.4,2440.53,2439.7,0,,87.969,1407.6,null,,,,0.0352,0,174.796,29.022,48.378
saturne,Saturne,Saturn,TRUE,1426666422,1349823615,1503509229,0.0565,2.485,5.68336,26,8.2713,14,0.6871,10.44,36090,58232,60268,54364,0.09796,,10759.22,10.656,null,,,,26.73,0,317.02,336.178,113.759
soleil,Le Soleil,Sun,FALSE,0,0,0,0,0,1.989,30,0,1,1,0,0,695508,696342,0,0.00009,,2.74,0,null,,,,7.25,0,0,0,0
terre,La Terre,Earth,TRUE,149598262,147095000,152100000,0.0167,0,5.97237,24,1.08321,12,5.5136,9.8,11190,6371.0084,6378.1366,6356.8,0.00335,,365.256,23.9345,null,,,,23.4393,0,358.617,85.901,18.272
venus,VÃ©nus,Venus,TRUE,108208475,107477000,108939000,0.0067,3.39,4.86747,24,9.2843,11,5.243,8.87,10360,6051.8,6051.8,6051.8,0,,224.701,-5832.5,null,,,,177.36,0,50.115,54.78,76.785
